Timestamp,CPU Usage (%),RAM Usage (%),CPU Temp (°C),Disk Read (KB/s),Disk Write (KB/s),Network Out (KB/s),Process ID,Process Name,Ransomware
2025-03-16 11:16:31,10.7,34.0,47.375,190.33,218.09,0.0,1,systemd,0
2025-03-16 11:16:33,2.5,34.0,44.0,118.93,182.78,0.0,8382,python3,0
2025-03-16 11:16:35,5.6,34.0,40.875,72.47,145.71,0.0,1195,gnome-shell,0
2025-03-16 11:16:37,9.7,34.0,47.25,52.07,130.45,0.0,1195,gnome-shell,0
2025-03-16 11:16:40,16.3,33.5,55.375,50.89,140.26,0.0,1195,gnome-shell,0
2025-03-16 11:16:42,6.2,33.4,52.375,44.6,131.69,0.0,1195,gnome-shell,0
2025-03-16 11:16:44,17.5,33.5,49.375,42.25,167.2,0.0,1195,gnome-shell,0
2025-03-16 11:16:46,5.6,33.5,46.375,36.94,158.62,0.0,1195,gnome-shell,0
2025-03-16 11:16:48,5.1,33.5,43.125,32.61,153.92,0.0,1195,gnome-shell,0
2025-03-16 11:16:50,6.1,33.5,40.125,29.19,146.77,0.0,1195,gnome-shell,0
2025-03-16 11:16:52,1.5,33.5,46.5,26.44,141.65,0.0,1195,gnome-shell,0
2025-03-16 11:16:54,7.2,33.4,43.375,25.18,137.37,0.0,1195,gnome-shell,0
2025-03-16 11:16:56,3.6,33.5,49.875,23.48,133.24,0.0,1195,gnome-shell,0
2025-03-16 11:16:58,8.7,33.5,46.625,21.74,130.17,0.0,1195,gnome-shell,0
2025-03-16 11:17:00,6.2,33.5,43.5,20.38,133.95,0.0,1195,gnome-shell,0
2025-03-16 11:17:02,4.6,33.5,40.375,19.07,144.02,0.0,1195,gnome-shell,0
2025-03-16 11:17:04,4.6,33.5,39.25,17.92,140.73,0.0,1195,gnome-shell,0
2025-03-16 11:17:06,5.1,33.5,46.0,16.9,140.22,0.0,1195,gnome-shell,0
2025-03-16 11:17:08,4.6,33.5,52.125,16.41,137.27,0.0,8382,python3,0
2025-03-16 11:17:10,2.0,33.5,48.875,15.57,134.93,0.0,7356,gnome-terminal-server,0
2025-03-16 11:17:12,5.6,33.5,45.75,14.81,156.48,0.0,1195,gnome-shell,0
2025-03-16 11:17:14,4.6,33.4,42.625,14.13,192.64,0.0,1195,gnome-shell,0
2025-03-16 11:17:16,7.7,33.4,39.75,13.51,188.04,0.0,1195,gnome-shell,0
2025-03-16 11:17:18,22.4,33.3,47.875,13.01,183.76,0.04,1195,gnome-shell,0
2025-03-16 11:17:21,3.0,33.4,54.25,12.48,179.76,0.04,1195,gnome-shell,0
2025-03-16 11:17:23,1.0,33.4,51.125,11.99,176.3,0.04,994,pulseaudio,0
2025-03-16 11:17:25,1.0,33.4,47.875,11.54,173.08,0.04,994,pulseaudio,0
2025-03-16 11:17:27,2.0,33.4,44.875,11.13,169.95,0.04,994,pulseaudio,0
2025-03-16 11:17:29,3.0,33.3,41.75,10.74,167.04,0.04,994,pulseaudio,0
2025-03-16 11:17:31,1.5,33.4,49.625,10.51,164.4,0.03,994,pulseaudio,0
2025-03-16 11:17:33,1.0,33.4,46.625,10.17,162.05,0.03,8382,python3,0
2025-03-16 11:17:35,1.0,33.4,43.5,9.85,159.78,0.03,8382,python3,0
2025-03-16 11:17:37,1.5,33.4,40.25,9.54,157.92,0.03,8382,python3,0
2025-03-16 11:17:39,3.0,33.4,38.75,9.26,160.42,0.03,8382,python3,0
2025-03-16 11:17:41,2.0,33.3,38.75,9.1,180.14,0.03,8382,python3,0
2025-03-16 11:17:43,2.0,33.4,46.375,10.33,177.7,0.03,994,pulseaudio,0
2025-03-16 11:17:45,1.5,33.4,43.125,11.06,179.84,0.03,8382,python3,0
2025-03-16 11:17:47,2.5,33.4,39.875,10.77,180.6,0.03,994,pulseaudio,0
2025-03-16 11:17:49,2.5,33.4,38.5,10.49,178.2,0.03,994,pulseaudio,0
2025-03-16 11:17:51,1.0,33.4,44.75,10.23,175.9,0.03,994,pulseaudio,0
2025-03-16 11:17:53,2.5,33.4,41.625,9.97,173.71,0.03,8382,python3,0
2025-03-16 11:17:55,2.0,33.4,48.375,9.97,171.64,0.02,994,pulseaudio,0
2025-03-16 11:17:57,1.5,33.4,45.125,9.74,169.77,0.02,8382,python3,0
2025-03-16 11:17:59,1.5,33.4,42.0,9.51,170.8,0.02,994,pulseaudio,0
2025-03-16 11:18:01,1.0,33.4,38.875,9.3,169.05,0.02,8382,python3,0
2025-03-16 11:18:03,1.5,33.4,38.5,9.09,167.21,0.02,994,pulseaudio,0
2025-03-16 11:18:05,2.5,33.4,38.375,8.9,165.47,0.02,8382,python3,0
2025-03-16 11:18:08,2.0,33.4,45.0,8.88,163.83,0.02,8382,python3,0
2025-03-16 11:18:10,1.5,33.4,41.875,8.69,162.35,0.02,8382,python3,0
2025-03-16 11:18:12,2.0,33.4,38.875,8.52,163.37,0.02,994,pulseaudio,0
2025-03-16 11:18:14,3.0,33.4,38.375,8.35,161.96,0.02,8382,python3,0
2025-03-16 11:18:16,1.5,33.4,38.25,8.19,176.21,0.02,994,pulseaudio,0
2025-03-16 11:18:18,2.0,33.4,38.25,8.14,174.53,0.02,8382,python3,0
2025-03-16 11:18:20,2.0,33.4,45.125,7.99,172.91,0.04,8382,python3,0
2025-03-16 11:18:22,2.0,33.4,41.875,7.84,171.41,0.04,994,pulseaudio,0
2025-03-16 11:18:24,2.0,33.4,38.875,7.7,169.93,0.04,994,pulseaudio,0
2025-03-16 11:18:26,1.5,33.4,45.25,7.57,168.54,0.04,994,pulseaudio,0
2025-03-16 11:18:28,1.5,33.4,42.125,7.44,167.19,0.04,994,pulseaudio,0
2025-03-16 11:18:30,2.5,33.4,39.0,7.31,165.82,0.03,994,pulseaudio,0
2025-03-16 11:18:32,2.0,33.4,45.625,7.22,164.52,0.03,994,pulseaudio,0
2025-03-16 11:18:34,2.0,33.4,42.625,7.1,163.33,0.03,994,pulseaudio,0
2025-03-16 11:18:36,1.0,33.4,39.5,6.99,162.12,0.03,994,pulseaudio,0
2025-03-16 11:18:38,2.0,33.4,38.25,6.88,160.95,0.03,994,pulseaudio,0
2025-03-16 11:18:40,1.5,33.4,44.5,6.77,159.78,0.03,994,pulseaudio,0
2025-03-16 11:18:42,3.0,33.4,41.375,6.66,158.65,0.03,994,pulseaudio,0
2025-03-16 11:18:44,2.5,33.4,48.125,6.56,157.58,0.03,994,pulseaudio,0
2025-03-16 11:18:46,1.0,33.4,44.875,6.47,168.36,0.03,8382,python3,0
